,gender,name,party,suggestion
92,male,Ken,Republican,"[ken calvert, ken calvert staff, ken calvert district, ken calvert for congress, ken calvert committees, ken calvert twitter, ken calvert kentucky, ken calvert detroit pistons, ken calvert facebook, ken calvert dj]"
93,female,Shelley,Republican,"[shelley capito, shelley capito staff, shelley capito senate, shelley capito macleod, shelley capito west virginia, shelley capito wv, shelley capito voting record, shelley capito duke, shelley capito wharton, shelley capito moore]"
94,female,Lois,Democrat,"[lois capps, lois capps staff, lois capps district, lois capps retiring, lois capps office, lois capps twitter, lois capps nurse, lois capps internship, lois capps bill, lois capps for congress]"
95,male,Michael,Democrat,"[michael capuano, michael capuano twitter, michael capuano for congress, michael capuano maui, michael capuano chicago, michael capuano committees, michael capuano office, michael capuano email, michael capuano palos park il, michael capuano school]"
96,male,John,Republican,"[john carter, john carter cash, john carter 2, john carter cast, john carter congress, john carter imdb, john carter full movie, john carter books, john carter trailer, john carter movie cast]"
97,male,Steve,Republican,"[steve chabot, steve chabot for congress, steve chabot staff, steve chabot twitter, steve chabot wiki, steve chabot blog, steve chabot facebook, steve chabot dc office, steve chabot committees, steve chabot hair]"
98,male,Wm.,Democrat,"[wm clay ford, wm clay ford jr, wm clay ford sr, wm clay, wm clay ford funeral, wm clay ford net worth, wm clayton green, clay wm die hard, wm lacy clay, wm lacy clay missouri]"
99,male,James,Democrat,"[james clyburn, james clyburn district, james clyburn chief of staff, james clyburn net worth, james clyburn endorsement, james clyburn committee assignments, james clyburn twitter, james clyburn bernie sanders, james clyburn for congress, james clyburn daughter]"
100,male,Mark,Republican,"[mark walker, mark walker chief of staff, mark walker twitter, mark walker committees, mark walker staff, mark walker millstein, mark walker dcps, mark walker lehigh, mark walker american legion, mark walker facebook]"
101,male,Tom,Republican,"[tom cole, tom coleman, tom cole for congress, tom cole staff, tom cole annapolis, tom cole npr, tom cole g strings, tom cole committees, tom cole dc office, tom cole appropriations]"
102,male,John,Democrat,"[john conyers, john conyers twitter, john conyers iii, john conyers staff, john conyers congressman, john conyers for congress, john conyers hillary clinton, john conyers bio, john conyers committees, john conyers medicare for all]"
103,male,Jim,Democrat,"[jim cooper, jim cooper tennessee, jim cooper staff, jim cooper committees, jim cooper obituary, jim cooper construction, jim cooper adweek, jim cooper football, jim cooper california, jim cooper internship]"
